series,observations,rmse,mae,dir_hits,dir_total,dir_acc,dm_stat,dm_pvalue
IDR,300,0.0017058124186948196,0.0008134685276941393,181,299,0.6053511705685619,2.3259296483929943,0.02002230406671046
KRW,300,0.015782654760596107,0.007217657925535083,194,299,0.6488294314381271,0.8142895079907945,0.4154791188857194
HKD,300,0.02651707874500273,0.012116364970330503,183,299,0.6120401337792643,1.8211236545880496,0.06858806230285763
MYR,300,0.04144861195970911,0.01931486363645784,190,299,0.6354515050167224,1.8232476296131634,0.06826589420568263
PLN,300,0.04963670074790219,0.0217781371622136,195,299,0.6521739130434783,1.5399736699288962,0.12356677164217822
NZD,300,0.08748394448572187,0.042021684085015575,197,299,0.6588628762541806,1.8145613191639505,0.06959135137835815
AUD,300,0.09791654164101932,0.0430037786153072,194,299,0.6488294314381271,1.2593233596741813,0.20791355911156062
CAD,300,0.10439064564559161,0.04846131620007566,192,299,0.6421404682274248,1.2311383643674014,0.218271118986479
SGD,300,0.11065343099157125,0.05253396755969895,188,299,0.6287625418060201,0.5244946727479215,0.5999345241157916
EUR,300,0.14364661429394426,0.06359227631596137,198,299,0.6622073578595318,2.033859189557357,0.04196579469261508
USD,300,0.2058224038189021,0.09384850993883881,185,299,0.6187290969899666,2.1338689106791384,0.03285351302784001
JPY,300,0.21346963391988227,0.09074905880659931,183,299,0.6120401337792643,2.105417242230085,0.035255004206721896
XDR,300,0.2169103313975557,0.09477610306863013,195,299,0.6521739130434783,1.1836800514057413,0.23653973853198096
GBP,300,0.2824422271847363,0.11503107307773876,170,299,0.568561872909699,1.1766971441661873,0.2393164081275816
PHP,300,0.390741158957748,0.20179775746973397,172,299,0.5752508361204013,1.9310779156036082,0.05347341763978042
THB,300,0.5037765055296387,0.23850713755248754,176,299,0.5886287625418061,2.653700684090682,0.007961441292862137
TWD,300,0.5665722289920239,0.2597550722889261,199,299,0.6655518394648829,1.991678659069361,0.04640632670662548
I44,300,1.4041765892023983,0.6602812450929175,190,299,0.6354515050167224,1.5319454660882796,0.125535892586361
SEK,300,1.4557765143959158,0.6654340026188562,199,299,0.6655518394648829,1.17917616049946,0.2383280367762497
