series,observations,rmse,mae,dir_hits,dir_total,dir_acc,dm_stat,dm_pvalue
IDR,100,0.0029293315660380713,0.001566367549513381,61,99,0.6161616161616161,1.3686652565870259,0.17110393538868962
KRW,100,0.025693986349573966,0.014165622347278597,61,99,0.6161616161616161,0.06676387318964437,0.9467696842295175
HKD,100,0.043604834116757,0.022035355267761316,45,99,0.45454545454545453,0.8765262880052628,0.3807439917649724
MYR,100,0.06527127595565457,0.033412999839451174,57,99,0.5757575757575758,0.5267096513600191,0.5983952323311568
PLN,100,0.08388647011535527,0.04079606421549539,62,99,0.6262626262626263,1.2650844402848471,0.20584105998162872
NZD,100,0.14274125743250007,0.077906063828521,62,99,0.6262626262626263,1.7089375129968727,0.08746252485578632
AUD,100,0.1668476120160405,0.08195147730221816,57,99,0.5757575757575758,1.2393173666727448,0.21522798972405077
CAD,100,0.16750711242261224,0.08329149807981136,57,99,0.5757575757575758,0.8670680826491236,0.3859047073189392
SGD,100,0.1793119532021823,0.09742358471675129,45,99,0.45454545454545453,-0.20184640809594045,0.8400367997475715
EUR,100,0.23227812519420846,0.11588229843879452,64,99,0.6464646464646465,0.695014782409422,0.48704603762442855
USD,100,0.3381756813730538,0.16954941344797725,51,99,0.5151515151515151,0.9177655634635451,0.3587416145581823
JPY,100,0.33835278049046646,0.16382288110546767,58,99,0.5858585858585859,0.8396547098759124,0.40110201449444594
XDR,100,0.3461435816506613,0.18019660804612042,56,99,0.5656565656565656,0.9326450716054749,0.35100325398397203
GBP,100,0.46244265867610734,0.20398534908106317,53,99,0.5353535353535354,0.9673821596699209,0.33335302517677134
PHP,100,0.6324670588464004,0.35768029702561116,53,99,0.5353535353535354,0.4138173539456362,0.6790078737154008
THB,100,0.8181725605851362,0.4389234959362625,50,99,0.5050505050505051,1.4563803344653266,0.14528750883543906
TWD,100,0.8871373020944523,0.47374414276684007,47,99,0.47474747474747475,-0.2506922218382156,0.8020520747650857
SEK,100,2.38862324211073,1.2943477916741188,59,99,0.5959595959595959,0.9300536021102825,0.3523433320950311
I44,100,2.435871803986685,1.3193546185622156,57,99,0.5757575757575758,1.4443658579149135,0.14863608934509442
